sku,name,brand,color,size,mrp,price,quantity
SKU1000,Shoes,Reebok,Grey,XXL,3214.28,2655.49,29
SKU1001,T-Shirt,Nike,Green,XXL,4489.84,3803.89,19
SKU1002,Track Pants,Levis,White,XL,2157.58,1310.13,37
SKU1003,Jeans,Adidas,Yellow,XL,887.9,701.73,9
SKU1004,Jacket,Zara,Green,XXL,936.74,611.77,24
SKU1005,T-Shirt,Levis,Blue,XL,2346.94,2010.45,19
SKU1006,T-Shirt,Levis,Red,XL,4318.21,3504.65,20
SKU1007,Shoes,Reebok,Blue,M,2955.68,1774.95,20
SKU1008,Cap,Reebok,Red,S,1472.58,968.55,5
SKU1009,Track Pants,Zara,Yellow,L,1941.3,1355.37,12
SKU1010,T-Shirt,H&M,Grey,M,2474.57,1632.61,47
SKU1011,Shoes,Levis,Red,XXL,1701.46,1613.4,9
SKU1012,Track Pants,Zara,Blue,XL,621.92,518.69,24
SKU1013,Hoodie,Adidas,Blue,L,3397.79,2242.72,42
SKU1014,Jeans,Levis,White,M,4488.82,3083.91,35
SKU1015,Jacket,Puma,Green,M,1598.18,1351.36,43
SKU1016,Cap,H&M,Black,XXL,1737.6,1083.28,7
SKU1017,Shoes,Adidas,Red,L,2943.0,2121.31,16
SKU1018,Shorts,Puma,Blue,L,4989.07,4119.21,19
SKU1019,Shoes,Adidas,Black,XL,4216.31,2704.52,29
SKU1020,Track Pants,Adidas,Black,XXL,978.44,949.09,30
SKU1021,Shoes,Nike,Grey,S,4867.7,4373.18,36
SKU1022,Jeans,Puma,Red,L,4936.76,3314.74,26
SKU1023,Track Pants,Adidas,Black,XXL,3675.77,3140.71,19
SKU1024,Jeans,Puma,Grey,XXL,1865.96,1125.4,20
SKU1025,Sweater,H&M,Yellow,S,2637.54,1743.18,49
SKU1026,Shorts,Levis,Black,XXL,4670.89,4027.73,22
SKU1027,Sneakers,Reebok,Blue,M,4415.55,4173.8,24
SKU1028,Shoes,Puma,Grey,XL,3846.16,3491.01,47
SKU1029,Shorts,H&M,Green,M,4726.13,3711.74,6
SKU1030,Jacket,Nike,Green,M,2697.62,2467.98,32
SKU1031,Jacket,H&M,Yellow,XL,4298.76,2668.44,41
SKU1032,Hoodie,H&M,White,XXL,1651.58,1186.75,9
SKU1033,Cap,Levis,Yellow,XL,3676.94,3152.5,29
SKU1034,Jacket,Nike,Red,S,1200.31,1128.2,10
SKU1035,Shoes,H&M,Red,L,981.59,954.71,20
SKU1036,Cap,H&M,Black,L,2313.45,2126.18,13
SKU1037,Sweater,Levis,Blue,M,3433.44,2826.22,43
SKU1038,Jacket,Nike,Black,S,2465.41,1536.32,19
SKU1039,Jacket,Puma,Red,XL,2293.73,1437.78,6
SKU1040,Jacket,Adidas,Yellow,L,3082.55,2507.16,13
SKU1041,Sneakers,Reebok,Blue,XL,4783.1,4262.54,1
SKU1042,Sweater,Puma,White,M,4894.91,3408.53,26
SKU1043,Jeans,Levis,Grey,S,2648.8,2544.11,7
SKU1044,Cap,H&M,White,M,2301.53,1651.2,43
SKU1045,Jacket,Zara,Red,XL,3309.36,2480.96,16
SKU1046,T-Shirt,Levis,Yellow,L,928.79,801.26,50
SKU1047,Hoodie,Zara,Blue,M,2761.92,2080.46,24
SKU1048,Jeans,Nike,Blue,S,1875.83,1269.2,13
SKU1049,Sweater,Levis,Grey,S,2111.13,1499.98,35
SKU1050,Shoes,Reebok,Black,L,3701.53,2297.24,21
SKU1051,Hoodie,Nike,White,XL,1097.94,1064.06,19
SKU1052,Sneakers,Puma,Green,S,2714.04,2523.7,3
SKU1053,T-Shirt,Reebok,Blue,XXL,3550.31,3047.63,3
SKU1054,Hoodie,Nike,Grey,L,2369.23,2165.24,10
SKU1055,Sweater,Reebok,White,XL,2320.2,1905.27,1
SKU1056,Shoes,Adidas,Grey,XXL,739.89,669.74,28
SKU1057,Cap,Adidas,Yellow,L,1507.73,1437.36,49
SKU1058,Shoes,Zara,White,L,1639.13,1452.31,30
SKU1059,Track Pants,Reebok,Red,L,4781.94,3163.89,32
SKU1060,T-Shirt,Puma,Grey,S,3259.27,3200.49,35
SKU1061,Cap,H&M,Grey,XL,4767.2,3548.43,2
SKU1062,Sweater,Nike,Red,S,3372.08,2515.79,13
SKU1063,Jacket,Puma,Yellow,L,918.31,699.1,38
SKU1064,Jeans,Puma,Blue,XXL,2649.14,2117.52,3
SKU1065,Sneakers,Nike,Grey,L,3374.52,3123.42,8
SKU1066,Sweater,Nike,Green,XXL,2232.34,1520.72,26
SKU1067,Jacket,Puma,Blue,L,1235.53,961.78,6
SKU1068,Hoodie,Levis,Blue,XXL,3137.39,2375.1,16
SKU1069,Hoodie,Levis,Yellow,XXL,3615.51,2987.85,38
SKU1070,Jacket,H&M,White,M,3709.91,2513.23,50
SKU1071,Cap,Zara,Yellow,S,579.65,568.26,35
SKU1072,Cap,H&M,Blue,XL,4257.2,3496.25,30
SKU1073,Hoodie,Puma,Grey,S,3082.72,2572.8,6
SKU1074,Sneakers,Zara,Blue,XL,4282.64,4247.99,47
SKU1075,Sweater,H&M,White,S,2041.72,1391.03,46
SKU1076,Shoes,Puma,Blue,M,4756.46,4286.81,41
SKU1077,T-Shirt,Nike,Yellow,XL,2302.15,2199.72,38
SKU1078,Sneakers,Zara,Yellow,XL,2200.3,1762.44,49
SKU1079,Shoes,Levis,Blue,XL,3901.75,3694.32,15
SKU1080,Shoes,Reebok,White,L,3622.95,2709.33,22
SKU1081,Jeans,Levis,Red,XL,2474.0,1977.76,5
SKU1082,T-Shirt,Nike,Black,XL,1175.3,969.99,15
SKU1083,Cap,H&M,Black,XL,2217.93,2016.22,19
SKU1084,Shorts,H&M,Grey,S,4567.4,2909.05,47
SKU1085,Sweater,Zara,Yellow,S,2175.58,2112.98,17
SKU1086,Track Pants,Puma,Green,XXL,2563.23,2344.01,39
SKU1087,Jeans,H&M,Yellow,S,3843.73,3041.47,10
SKU1088,Hoodie,H&M,Yellow,M,3525.54,2649.24,36
SKU1089,Shorts,Zara,Red,S,719.0,688.12,16
SKU1090,Shorts,H&M,White,L,4032.01,2734.86,32
SKU1091,T-Shirt,Nike,Red,M,810.77,555.81,37
SKU1092,Sneakers,Nike,Red,XXL,2541.43,2026.2,3
SKU1093,Cap,Levis,Black,XXL,2158.35,2077.13,42
SKU1094,Cap,Adidas,Grey,M,2196.0,2142.28,39
SKU1095,Sneakers,Zara,Yellow,S,1520.35,1519.83,40
SKU1096,Jacket,H&M,Black,XL,4495.4,4194.8,1
SKU1097,Cap,Nike,White,S,4098.22,3242.98,28
SKU1098,Hoodie,Zara,Yellow,M,1875.0,1144.37,40
SKU1099,Sneakers,H&M,Red,XXL,3140.02,2772.55,50
SKU1100,Track Pants,Zara,Black,M,3691.66,3129.64,33
SKU1101,Jeans,Puma,Blue,S,4007.34,3906.75,21
SKU1102,Shorts,Zara,Black,XXL,1667.46,1315.72,26
SKU1103,Hoodie,Adidas,Yellow,L,3174.97,2439.23,13
SKU1104,T-Shirt,H&M,Yellow,M,4512.72,3289.36,48
SKU1105,Track Pants,Levis,Grey,XXL,4119.38,3257.17,37
SKU1106,Shoes,Puma,Green,M,1898.13,1270.48,24
SKU1107,Jacket,Zara,Yellow,XL,1573.55,1500.25,22
SKU1108,T-Shirt,Puma,Yellow,M,2891.94,2130.99,5
SKU1109,Cap,Zara,Grey,XXL,1200.83,1011.32,14
SKU1110,Shorts,Reebok,Black,S,4668.28,3409.3,32
SKU1111,Sneakers,Adidas,White,S,1474.93,1444.98,45
SKU1112,Cap,Reebok,Green,XXL,904.92,559.27,8
SKU1113,Shoes,Nike,Yellow,L,3003.67,2852.57,30
SKU1114,Shorts,Nike,Blue,S,1248.52,868.84,14
SKU1115,Shorts,Levis,Blue,XXL,4065.26,3305.37,25
SKU1116,Shorts,Zara,Yellow,S,1152.29,1075.15,6
SKU1117,Shoes,Zara,White,XL,3629.37,2310.89,29
SKU1118,Sweater,Zara,Green,XXL,4031.42,2844.31,11
SKU1119,T-Shirt,Reebok,Grey,XXL,1603.2,1082.43,32
SKU1120,Jeans,H&M,Green,XL,2333.6,1858.2,36
SKU1121,Cap,Levis,Blue,L,1332.69,1235.51,45
SKU1122,Track Pants,Zara,Red,M,1946.94,1501.08,27
SKU1123,Jeans,Nike,Green,S,3198.71,2982.85,5
SKU1124,Track Pants,Reebok,Yellow,XXL,4192.75,2925.33,45
SKU1125,Jacket,Puma,Red,S,738.09,543.25,30
SKU1126,Sneakers,Levis,Green,XXL,1021.89,756.94,41
SKU1127,Cap,Nike,White,L,4137.48,3531.25,46
SKU1128,Hoodie,Zara,Blue,M,4550.5,2883.56,17
SKU1129,Hoodie,Puma,Red,M,2975.44,2100.76,43
SKU1130,Jeans,H&M,Green,XL,1785.89,1644.15,6
SKU1131,T-Shirt,Nike,Black,M,3626.72,3217.56,27
SKU1132,Hoodie,Adidas,Red,L,3169.84,2039.16,13
SKU1133,Hoodie,Levis,Grey,L,920.05,812.54,18
SKU1134,Shoes,Levis,Yellow,S,2470.41,2199.1,33
SKU1135,Sweater,Levis,Black,S,2998.28,2543.65,10
SKU1136,Hoodie,H&M,Blue,S,4082.17,4061.15,47
SKU1137,Cap,Adidas,White,S,3456.85,2831.91,34
SKU1138,Shorts,Levis,Black,XL,2857.96,1915.28,32
SKU1139,Sweater,Levis,White,L,654.48,492.65,26
SKU1140,Shorts,Puma,White,XL,3772.05,3116.26,16
SKU1141,T-Shirt,H&M,Blue,XL,2278.18,2019.48,35
SKU1142,Sweater,Reebok,Yellow,S,1046.61,901.07,50
SKU1143,Shorts,H&M,Grey,XL,2926.58,1897.45,21
SKU1144,Hoodie,Adidas,White,L,4859.92,3097.06,5
SKU1145,Hoodie,Zara,Green,S,1451.77,989.14,25
SKU1146,Shorts,Zara,Green,M,563.62,507.48,3
SKU1147,Shorts,Puma,Blue,L,4942.4,3734.0,36
SKU1148,Jeans,Nike,Green,S,3381.2,2107.68,9
SKU1149,Hoodie,Reebok,Red,M,3199.11,2429.13,19
SKU1150,Jacket,Puma,Red,XL,1460.19,1439.35,30
SKU1151,Jacket,Reebok,Black,L,3347.27,3088.88,28
SKU1152,Sneakers,Levis,Black,XL,4686.67,4514.14,49
SKU1153,Jeans,Levis,Black,XL,2138.48,1689.69,39
SKU1154,Jeans,Adidas,Red,S,3195.47,2176.22,26
SKU1155,Sneakers,Adidas,Black,XXL,1338.09,1208.13,2
SKU1156,T-Shirt,H&M,Grey,S,2182.85,1644.15,48
SKU1157,Track Pants,Reebok,Black,XXL,579.24,548.89,9
SKU1158,Sweater,Zara,Yellow,L,1354.83,1149.77,32
SKU1159,Sweater,Puma,Red,S,1156.97,965.51,7
SKU1160,Cap,Zara,White,L,2731.2,2130.05,8
SKU1161,Jacket,Nike,Blue,XL,2761.47,1978.53,5
SKU1162,Hoodie,Puma,Black,L,2805.6,2732.45,39
SKU1163,Cap,Puma,Red,S,2722.0,2689.93,5
SKU1164,Jacket,Puma,Blue,M,860.78,685.74,10
SKU1165,T-Shirt,Levis,Grey,S,2393.64,1991.6,31
SKU1166,Track Pants,Zara,Grey,L,2867.48,2512.47,33
SKU1167,Sneakers,Levis,Black,M,3902.98,2754.89,34
SKU1168,T-Shirt,Adidas,Green,L,4990.26,4960.91,27
SKU1169,Jacket,Reebok,Red,M,4346.08,4068.09,50
SKU1170,Sweater,Puma,Grey,S,2405.23,1847.96,39
SKU1171,Cap,H&M,Blue,XXL,1343.72,1109.18,8
SKU1172,Hoodie,Adidas,Black,XL,1258.38,1246.76,15
SKU1173,Sweater,Puma,Yellow,XXL,3649.45,2789.89,1
SKU1174,Track Pants,Nike,Green,XL,2140.74,2027.04,36
SKU1175,Track Pants,Zara,White,XXL,4886.33,3969.19,13
SKU1176,Jacket,Nike,Red,XL,3094.08,1856.88,24
SKU1177,Jacket,Zara,Yellow,S,987.62,934.52,49
SKU1178,Jeans,Adidas,Red,XXL,4018.48,3179.76,18
SKU1179,Jeans,Zara,Grey,S,3072.63,3022.58,43
SKU1180,Shoes,H&M,Green,L,4125.45,2748.6,25
SKU1181,Jeans,Levis,Black,XXL,1421.68,1326.2,28
SKU1182,Hoodie,Nike,Black,M,1988.68,1333.06,12
SKU1183,Cap,Reebok,Red,XXL,4599.86,3559.85,43
SKU1184,Sweater,Reebok,Grey,S,1207.61,903.52,33
SKU1185,Cap,H&M,Red,S,3764.59,3428.45,18
SKU1186,Hoodie,Zara,White,XXL,1265.43,1227.1,34
SKU1187,Sneakers,Levis,Yellow,XXL,3470.95,3295.8,6
SKU1188,Jeans,Zara,Black,XL,3866.59,2882.93,33
